City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bellampalli,19.0558,79.493,25.26,84,97,2.46,IN,1726240600
1,adamstown,-25.066,-130.1015,18.8,73,1,5.71,PN,1726240601
2,la ronge,55.1001,-105.2842,12.14,94,100,5.66,CA,1726240602
3,itoman,26.1247,127.6694,26.21,94,75,4.12,JP,1726240603
4,barentu,15.1139,37.5928,30.33,52,41,1.08,ER,1726240604
5,hermanus,-34.4187,19.2345,16.0,74,41,2.24,ZA,1726240606
6,margaret river,-33.95,115.0667,13.5,82,0,5.16,AU,1726240608
7,nemuro,43.3236,145.575,15.54,59,60,9.52,JP,1726240609
8,nizhnyaya poyma,56.1622,97.1933,5.1,88,100,0.69,RU,1726240610
9,albany,42.6001,-73.9662,23.78,71,0,0.6,US,1726240611
10,ushuaia,-54.8,-68.3,-1.19,100,100,6.69,AR,1726240612
11,buka,40.8108,69.1986,20.04,26,11,2.59,UZ,1726240613
12,acapulco de juarez,16.8634,-99.8901,28.9,84,75,2.06,MX,1726240485
13,puerto ayora,-0.7393,-90.3518,21.42,94,95,4.47,EC,1726240615
14,port-aux-francais,-49.35,70.2167,2.61,81,41,10.53,TF,1726240616
15,kuta,-8.7233,115.1723,26.97,83,20,1.54,ID,1726240617
16,port mathurin,-19.6833,63.4167,22.66,69,1,4.29,MU,1726240618
17,blackmans bay,-43.0167,147.3167,7.07,82,61,3.87,AU,1726240620
18,waitangi,-43.9535,-176.5597,6.57,88,77,0.45,NZ,1726240621
19,bethel,41.3712,-73.414,24.39,72,0,0.89,US,1726240622
20,coihueco,-36.6167,-71.8333,12.41,62,0,4.63,CL,1726240623
21,goure,13.9835,10.2704,35.51,33,100,3.16,NE,1726240624
22,mirriah,13.7073,9.1501,34.34,46,20,3.09,NE,1726240625
23,yambio,4.5721,28.3955,26.41,85,88,1.92,SS,1726240626
24,brumado,-14.2036,-41.6653,29.67,30,3,4.79,BR,1726240627
25,enewetak,11.3474,162.3373,28.39,78,100,4.53,MH,1726240628
26,college,64.8569,-147.8028,9.14,95,100,4.12,US,1726240629
27,west island,-12.1568,96.8225,25.99,83,10,4.63,CC,1726240630
28,utrik,11.2278,169.8474,28.34,79,100,6.83,MH,1726240631
29,quelimane,-17.8786,36.8883,25.97,78,0,5.14,MZ,1726240632
30,port alfred,-33.5906,26.891,18.43,85,0,3.13,ZA,1726240633
31,vorgashor,67.5833,63.95,15.05,83,49,2.17,RU,1726240634
32,yellowknife,62.456,-114.3525,11.34,100,100,4.02,CA,1726240383
33,port pirie,-33.1833,138.0167,7.38,80,74,3.06,AU,1726240636
34,klaksvik,62.2266,-6.589,8.96,60,15,1.71,FO,1726240637
35,tazovsky,67.4667,78.7,6.73,85,39,4.14,RU,1726240638
36,iqaluit,63.7506,-68.5145,6.85,81,100,8.23,CA,1726240640
37,coronel dorrego,-38.7187,-61.2873,18.04,30,2,7.51,AR,1726240641
38,mount pearl,47.5166,-52.7813,17.75,50,20,4.63,CA,1726240642
39,maluso,6.543,121.8753,26.62,86,100,6.05,PH,1726240643
40,casimiro de abreu,-22.4806,-42.2042,37.08,17,0,3.23,BR,1726240644
41,fale old settlement,-9.3852,-171.2468,27.8,80,43,8.09,TK,1726240645
42,saint-pierre,-21.3393,55.4781,20.82,68,100,3.09,RE,1726240646
43,balqash,46.8481,74.995,15.03,43,12,3.69,KZ,1726240647
44,tiksi,71.6872,128.8694,0.8,95,99,3.99,RU,1726240648
45,horta,38.5333,-28.6333,25.01,77,40,5.14,PT,1726240649
46,codrington,-38.2667,141.9667,9.49,87,100,7.07,AU,1726240650
47,badger,64.8,-147.5333,9.14,96,100,4.12,US,1726240651
48,sotik post,-0.7813,35.3416,19.53,59,99,1.32,KE,1726240652
49,edinburgh of the seven seas,-37.0676,-12.3116,14.25,95,99,11.56,SH,1726240653
50,grytviken,-54.2811,-36.5092,2.38,91,100,5.98,GS,1726240654
51,cuencame de ceniceros,24.8711,-103.6964,24.83,41,85,0.76,MX,1726240655
52,tolanaro,-25.0319,46.9987,20.04,88,75,9.26,MG,1726240656
53,colonia,50.9333,6.95,17.75,72,20,2.06,DE,1726240657
54,olonkinbyen,70.9221,-8.7187,1.03,97,100,12.77,SJ,1726240658
55,mount isa,-20.7333,139.5,18.87,22,0,5.14,AU,1726240659
56,praia da vitoria,38.7333,-27.0667,26.14,61,40,3.07,PT,1726240660
57,wailua homesteads,22.0669,-159.378,24.3,88,75,3.6,US,1726240661
58,kaoma,-14.7833,24.8,35.21,10,0,3.91,ZM,1726240662
59,puerto natales,-51.7236,-72.4875,4.25,81,75,12.35,CL,1726240663
60,vilyuysk,63.7553,121.6247,0.39,71,96,2.51,RU,1726240664
61,essaouira,31.5125,-9.77,22.39,78,0,10.63,MA,1726240665
62,fallon,39.4735,-118.7774,10.93,43,0,0.0,US,1726240666
63,longyearbyen,78.2186,15.6401,5.91,87,20,0.0,SJ,1726240667
64,ketchikan,55.3422,-131.6461,12.1,96,100,1.74,US,1726240668
65,bairnsdale,-37.8333,147.6167,9.47,85,70,2.77,AU,1726240669
66,georgetown,5.4112,100.3354,26.97,78,20,1.03,MY,1726240544
67,antsohihy,-14.8796,47.9875,30.3,30,4,4.71,MG,1726240671
68,greytown,-29.0642,30.5928,21.35,69,81,3.4,ZA,1726240672
69,tura,25.5198,90.2201,24.63,97,100,1.95,IN,1726240675
70,vadso,70.0744,29.7487,12.09,87,75,2.06,NO,1726240676
71,talnakh,69.4865,88.3972,2.64,76,22,5.67,RU,1726240677
72,nova sintra,14.8667,-24.7167,26.18,79,100,9.44,CV,1726240678
73,fort mcmurray,56.7268,-111.381,8.77,93,100,4.12,CA,1726240514
74,harper,4.375,-7.7169,26.4,74,45,4.39,LR,1726240680
75,gadzhiyevo,69.2551,33.3362,19.33,67,100,4.25,RU,1726240681
76,labytnangi,66.6572,66.4183,15.17,80,20,3.3,RU,1726240682
77,nova vicosa,-17.8919,-39.3719,27.06,57,24,4.64,BR,1726240683
78,cidade velha,14.9167,-23.6167,29.26,61,20,6.69,CV,1726240684
79,bredasdorp,-34.5322,20.0403,16.88,58,82,4.63,ZA,1726240595
80,kodiak,57.79,-152.4072,10.73,62,0,10.8,US,1726240686
81,stanley,54.868,-1.6985,14.6,55,20,5.14,GB,1726240687
82,karauli,26.5,77.0167,26.4,83,83,4.16,IN,1726240688
83,saipan,15.1355,145.701,27.39,89,40,1.54,MP,1726240689
84,nelson bay,-32.7167,152.15,12.22,97,0,2.68,AU,1726240690
85,seeb,23.6703,58.1891,31.05,66,0,2.57,OM,1726240690
86,klyuchi,52.2667,79.1667,10.2,76,97,3.41,RU,1726240692
